epoch,step,train_loss,val_loss
0,0,163.5658416748047,
0,0,,167.94772338867188
1,1,161.8697509765625,
1,1,,166.20755004882812
2,2,160.2084197998047,
2,2,,164.4962158203125
3,3,158.57431030273438,
3,3,,162.81980895996094
4,4,156.9768524169922,
4,4,,161.16046142578125
5,5,155.3914794921875,
5,5,,159.55792236328125
6,6,153.86195373535156,
6,6,,158.01185607910156
7,7,152.3883056640625,
7,7,,156.55892944335938
8,8,151.00465393066406,
8,8,,155.12168884277344
9,9,149.63027954101562,
9,9,,153.6942138671875
10,10,148.265380859375,
10,10,,152.2899932861328
11,11,146.91986083984375,
11,11,,150.91017150878906
12,12,145.59642028808594,
12,12,,149.58241271972656
13,13,144.32679748535156,
13,13,,148.27825927734375
14,14,143.0822296142578,
14,14,,147.01278686523438
15,15,141.8717498779297,
15,15,,145.7935791015625
16,16,140.70921325683594,
16,16,,144.5859375
17,17,139.55812072753906,
17,17,,143.41427612304688
18,18,138.44017028808594,
18,18,,142.2710723876953
19,19,137.34884643554688,
19,19,,141.14968872070312
20,20,136.2807159423828,
20,20,,140.05458068847656
21,21,135.23377990722656,
21,21,,138.95242309570312
22,22,134.1825408935547,
22,22,,137.84307861328125
23,23,133.12506103515625,
23,23,,136.72740173339844
24,24,132.05958557128906,
24,24,,135.60430908203125
25,25,130.98655700683594,
25,25,,134.48785400390625
26,26,129.9224395751953,
26,26,,133.3771209716797
27,27,128.86167907714844,
27,27,,132.28341674804688
28,28,127.81731414794922,
28,28,,131.18878173828125
29,29,126.7698745727539,
29,29,,130.06053161621094
30,30,125.693603515625,
30,30,,128.90696716308594
31,31,124.5921401977539,
31,31,,127.74163818359375
32,32,123.47738647460938,
32,32,,126.55677795410156
33,33,122.3426513671875,
33,33,,125.38026428222656
34,34,121.21720123291016,
34,34,,124.19058227539062
35,35,120.07886505126953,
35,35,,122.98974609375
36,36,118.93982696533203,
36,36,,121.7728042602539
37,37,117.77873992919922,
37,37,,120.53404998779297
38,38,116.59505462646484,
38,38,,119.27284240722656
39,39,115.38932037353516,
39,39,,118.00777435302734
40,40,114.18170166015625,
40,40,,116.73461151123047
41,41,112.966796875,
41,41,,115.43084716796875
42,42,111.72186279296875,
42,42,,114.12256622314453
43,43,110.4786605834961,
43,43,,112.81526184082031
44,44,109.2286148071289,
44,44,,111.50004577636719
45,45,107.9703598022461,
45,45,,110.17898559570312
46,46,106.7085189819336,
46,46,,108.85384368896484
47,47,105.44579315185547,
47,47,,107.51217651367188
48,48,104.16632843017578,
48,48,,106.15660858154297
49,49,102.87076568603516,
49,49,,104.7918472290039
50,50,101.56261444091797,
50,50,,103.43949890136719
51,51,100.26403045654297,
51,51,,102.0761947631836
52,52,98.95831298828125,
52,52,,100.69979858398438
53,53,97.6435317993164,
53,53,,99.31373596191406
54,54,96.32154083251953,
54,54,,97.91297149658203
55,55,94.98493194580078,
55,55,,96.5279541015625
56,56,93.6624984741211,
56,56,,95.1307601928711
57,57,92.32794952392578,
57,57,,93.71479034423828
58,58,90.9776611328125,
58,58,,92.28194427490234
59,59,89.60869598388672,
59,59,,90.83191680908203
60,60,88.22245025634766,
60,60,,89.37301635742188
61,61,86.82540893554688,
61,61,,87.90029907226562
62,62,85.41844940185547,
62,62,,86.40921783447266
63,63,83.9948501586914,
63,63,,84.91997528076172
64,64,82.57269287109375,
64,64,,83.41433715820312
65,65,81.13607025146484,
65,65,,81.89620208740234
66,66,79.6874771118164,
66,66,,80.37142944335938
67,67,78.23471069335938,
67,67,,78.83394622802734
68,68,76.76962280273438,
68,68,,77.27967071533203
69,69,75.28400421142578,
69,69,,75.7074203491211
70,70,73.78118133544922,
70,70,,74.11918640136719
71,71,72.2625732421875,
71,71,,72.50982666015625
72,72,70.72542572021484,
72,72,,70.88674926757812
73,73,69.17607116699219,
73,73,,69.24906921386719
74,74,67.60863494873047,
74,74,,67.59552764892578
75,75,66.02862548828125,
75,75,,65.92228698730469
76,76,64.43221282958984,
76,76,,64.2260513305664
77,77,62.815582275390625,
77,77,,62.51934051513672
78,78,61.188663482666016,
78,78,,60.796634674072266
79,79,59.542633056640625,
79,79,,59.05076599121094
80,80,57.875179290771484,
80,80,,57.279850006103516
81,81,56.18303298950195,
81,81,,55.46208190917969
82,82,54.445465087890625,
82,82,,53.60784912109375
83,83,52.674312591552734,
83,83,,51.722755432128906
84,84,50.874420166015625,
84,84,,49.80561447143555
85,85,49.04668045043945,
85,85,,47.86256408691406
86,86,47.19330978393555,
86,86,,45.88997268676758
87,87,45.31025695800781,
87,87,,43.890384674072266
88,88,43.400482177734375,
88,88,,41.86146545410156
89,89,41.46061706542969,
89,89,,39.808998107910156
90,90,39.499515533447266,
90,90,,37.72296905517578
91,91,37.50566482543945,
91,91,,35.60607147216797
92,92,35.481693267822266,
92,92,,33.45543670654297
93,93,33.42505645751953,
93,93,,31.270994186401367
94,94,31.33929443359375,
94,94,,29.048219680786133
95,95,29.216276168823242,
95,95,,26.79393768310547
96,96,27.062314987182617,
96,96,,24.50491714477539
97,97,24.878440856933594,
97,97,,22.184803009033203
98,98,22.664268493652344,
98,98,,19.83883285522461
99,99,20.42654800415039,
99,99,,17.467498779296875
100,100,18.161746978759766,
100,100,,15.06722640991211
101,101,15.869266510009766,
101,101,,12.631142616271973
102,102,13.542695045471191,
102,102,,10.158679962158203
103,103,11.18171215057373,
103,103,,7.656064510345459
104,104,8.7909517288208,
104,104,,5.486282825469971
105,105,6.369808197021484,
105,105,,3.377253532409668
106,106,3.916642427444458,
106,106,,1.6376276016235352
107,107,1.563568115234375,
107,107,,2.706846237182617
108,108,1.3217377662658691,
108,108,,4.778995513916016
109,109,3.0834712982177734,
109,109,,6.367438316345215
