epoch,step,val_loss
0,0,122.70101928710938
1,1,121.71176147460938
2,2,120.7267074584961
3,3,119.75057983398438
4,4,118.7822494506836
5,5,117.82179260253906
6,6,116.86296081542969
7,7,115.90380859375
8,8,114.94021606445312
9,9,113.97288513183594
