epoch,step,train_loss,val_loss
0,0,178.5095672607422,
0,0,,183.88914489746094
1,1,177.12315368652344,
1,1,,182.44378662109375
2,2,175.74212646484375,
2,2,,181.00631713867188
3,3,174.367919921875,
3,3,,179.57803344726562
4,4,173.0020294189453,
4,4,,178.16160583496094
5,5,171.6485137939453,
5,5,,176.76576232910156
6,6,170.3157196044922,
6,6,,175.38624572753906
7,7,168.9993438720703,
7,7,,174.01547241210938
8,8,167.69081115722656,
8,8,,172.65924072265625
9,9,166.39695739746094,
9,9,,171.32815551757812
10,10,165.1257781982422,
10,10,,170.02200317382812
11,11,163.8768768310547,
11,11,,168.73248291015625
12,12,162.6465301513672,
12,12,,167.46441650390625
13,13,161.4369659423828,
13,13,,166.21571350097656
14,14,160.2449951171875,
14,14,,164.9756622314453
15,15,159.06387329101562,
15,15,,163.73849487304688
16,16,157.88296508789062,
16,16,,162.51290893554688
17,17,156.7113800048828,
17,17,,161.3050994873047
18,18,155.55674743652344,
18,18,,160.10134887695312
19,19,154.40708923339844,
19,19,,158.9052734375
20,20,153.2653350830078,
20,20,,157.7123260498047
21,21,152.12644958496094,
21,21,,156.51760864257812
22,22,150.9862823486328,
22,22,,155.3177490234375
23,23,149.84078979492188,
23,23,,154.14788818359375
24,24,148.72341918945312,
24,24,,152.98081970214844
25,25,147.60816955566406,
25,25,,151.82791137695312
26,26,146.507568359375,
26,26,,150.68539428710938
27,27,145.41610717773438,
27,27,,149.5498046875
28,28,144.3311004638672,
28,28,,148.41049194335938
29,29,143.24266052246094,
29,29,,147.26513671875
30,30,142.1484375,
30,30,,146.12515258789062
31,31,141.05857849121094,
31,31,,145.00433349609375
32,32,139.98594665527344,
32,32,,143.88375854492188
33,33,138.91537475585938,
33,33,,142.75662231445312
34,34,137.8387451171875,
34,34,,141.62130737304688
35,35,136.75294494628906,
35,35,,140.49160766601562
36,36,135.6734161376953,
36,36,,139.35809326171875
37,37,134.58973693847656,
37,37,,138.2244110107422
38,38,133.50869750976562,
38,38,,137.09286499023438
39,39,132.4307098388672,
39,39,,135.96435546875
40,40,131.3543701171875,
40,40,,134.83151245117188
41,41,130.27272033691406,
41,41,,133.6880645751953
42,42,129.18101501464844,
42,42,,132.54537963867188
43,43,128.09019470214844,
43,43,,131.40805053710938
44,44,127.00436401367188,
44,44,,130.2725372314453
45,45,125.91793060302734,
45,45,,129.1385040283203
46,46,124.8343505859375,
46,46,,127.9954605102539
47,47,123.7421875,
47,47,,126.84234619140625
48,48,122.64105987548828,
48,48,,125.67750549316406
49,49,121.52816772460938,
49,49,,124.5037841796875
50,50,120.40603637695312,
50,50,,123.33587646484375
51,51,119.28875732421875,
51,51,,122.16529846191406
52,52,118.17132568359375,
52,52,,120.9801254272461
53,53,117.04006958007812,
53,53,,119.78883361816406
54,54,115.90361785888672,
54,54,,118.58743286132812
55,55,114.75650024414062,
55,55,,117.3775634765625
56,56,113.60240936279297,
56,56,,116.15582275390625
57,57,112.435302734375,
57,57,,114.92231750488281
58,58,111.25680541992188,
