epoch,step,train_loss,val_loss
58,58,,113.67893981933594
59,59,110.06930541992188,
59,59,,112.42133331298828
60,60,108.86917114257812,
60,60,,111.15089416503906
61,61,107.6576919555664,
61,61,,109.86449432373047
62,62,106.43045806884766,
62,62,,108.56369018554688
63,63,105.18841552734375,
63,63,,107.25897216796875
64,64,103.94400787353516,
64,64,,105.94451904296875
65,65,102.68899536132812,
65,65,,104.61520385742188
66,66,101.41883087158203,
66,66,,103.26911163330078
67,67,100.13187408447266,
67,67,,101.90117645263672
68,68,98.82495880126953,
68,68,,100.51496124267578
69,69,97.50049591064453,
69,69,,99.11347961425781
70,70,96.162841796875,
70,70,,97.69468688964844
71,71,94.80835723876953,
71,71,,96.25601959228516
72,72,93.43299102783203,
72,72,,94.80155944824219
73,73,92.04328155517578,
73,73,,93.32846069335938
74,74,90.63678741455078,
74,74,,91.83296966552734
75,75,89.20773315429688,
75,75,,90.31536865234375
76,76,87.7579116821289,
76,76,,88.77533721923828
77,77,86.28717803955078,
77,77,,87.21819305419922
78,78,84.79928588867188,
78,78,,85.65827178955078
79,79,83.3110122680664,
79,79,,84.08544921875
80,80,81.808837890625,
80,80,,82.50244140625
81,81,80.29714965820312,
81,81,,80.89611053466797
82,82,78.76528930664062,
82,82,,79.26366424560547
83,83,77.2074203491211,
83,83,,77.60427856445312
84,84,75.62207794189453,
84,84,,75.93114471435547
85,85,74.02457427978516,
85,85,,74.24117279052734
86,86,72.4113998413086,
86,86,,72.52617645263672
87,87,70.77387237548828,
87,87,,70.78944396972656
88,88,69.11485290527344,
88,88,,69.04078674316406
89,89,67.44612884521484,
89,89,,67.2723388671875
90,90,65.75804901123047,
90,90,,65.4819107055664
91,91,64.04924011230469,
91,91,,63.666839599609375
92,92,62.317134857177734,
92,92,,61.826133728027344
93,93,60.56011962890625,
93,93,,59.9682731628418
94,94,58.7852668762207,
94,94,,58.104183197021484
95,95,57.004390716552734,
95,95,,56.22763442993164
96,96,55.2120246887207,
96,96,,54.32685852050781
97,97,53.39630126953125,
97,97,,52.3981819152832
98,98,51.55491256713867,
98,98,,50.4415283203125
99,99,49.6855583190918,
99,99,,48.45158004760742
100,100,47.78403091430664,
100,100,,46.42802429199219
101,101,45.85142135620117,
101,101,,44.389930725097656
102,102,43.904510498046875,
102,102,,42.335914611816406
103,103,41.94211959838867,
103,103,,40.253211975097656
104,104,39.9541130065918,
104,104,,38.14517593383789
105,105,37.94196701049805,
105,105,,36.0147590637207
106,106,35.90727615356445,
106,106,,33.865478515625
107,107,33.857120513916016,
107,107,,31.70306396484375
108,108,31.79277992248535,
108,108,,29.510643005371094
109,109,29.700883865356445,
109,109,,27.292512893676758
110,110,27.582387924194336,
110,110,,25.052701950073242
111,111,25.442651748657227,
111,111,,22.78216552734375
112,112,23.27507972717285,
112,112,,20.47450828552246
113,113,21.071765899658203,
113,113,,18.133560180664062
114,114,18.836875915527344,
114,114,,15.762548446655273
115,115,16.573312759399414,
115,115,,13.364529609680176
116,116,14.28335189819336,
116,116,,10.943967819213867
117,117,11.97133731842041,
117,117,,8.496326446533203
118,118,9.633912086486816,
118,118,,6.221786975860596
119,119,7.266380310058594,
119,119,,4.161807537078857
120,120,4.871530055999756,
120,120,,2.1571617126464844
121,121,2.4664549827575684,
121,121,,1.8687071800231934
122,122,0.8153862953186035,
122,122,,3.918813705444336
123,123,2.272289514541626,
123,123,,5.751741409301758
124,124,3.9630353450775146,
124,124,,7.083191394805908
125,125,5.233591079711914,
125,125,,7.962283134460449
126,126,6.071594715118408,
126,126,,8.435558319091797
127,127,6.521747589111328,
127,127,,8.547094345092773
128,128,6.627191066741943,
128,128,,8.442914962768555
129,129,6.527310848236084,
129,129,,8.196847915649414
130,130,6.291952610015869,
130,130,,7.825619697570801
131,131,5.937166690826416,
131,131,,7.342574119567871
